NomClient;SIRET; RaisonSociale;NumVoie;NomVoie;Complement;CodePostal;Ville;Pays
ATLANTIQUE RECUPERATION;84037842600018;ATLANTIQUE SERVICES ENVIRONNEMENT EXPLOITATION;;ROUTE DE MAREMNE;ZA HOUSQUIT;40530;LABENNE;FRANCE
CAZENAVE;31095537200027;ETABLISSEMENTS CAZENAVE;;PLACE GERE-BELESTEN AEROPOLE PYRENEES;;64121;SERRES-CASTET;FRANCE
CGR AERONAUTIQUE;31285759200249;COMPTOIR GENERAL DU RESSORT;2;RUE HENRI POINCARE;ZI DES BDEAUDOTTES;93270;SEVRAN;FRANCE
CONCORM;40013262700011;CONORM;;RUE DE LEUROPE;ZONE INDUSTRIELLE;28130;PIERRES;FRANCE
CORSE COMPOSITES AERONAUTIQUE;32539647100030;CORSE COMPOSITES AERONAUTIQUES;;VAZZIO;ZI DU VAZZIO;20090;AJACCIO;FRANCE
DASSAULT ISTRES;71204245600194;DASSAULT AVIATION ISTRES BASE - 13118;;LDT BASE AERIENNE 125;;13118;ISTRES;FRANCE
DASSAULT MARTIGNAS;71204245600160;DASSAULT AVIATION - 33127;;AVENUE MARTYRS DE LA RESISTANCE;;33127;MARTIGNAS-SUR-JALLE;FRANCE
DASSAULT MERIGNAC;71204245600228;DASSAULT AVIATION - 33700;54;AVENUE MARCEL DASSAULT;;33700;MERGINAC;FRANCE
DASSAULT PRINGY;71204245600129;DASSAULT AVIATION - 74370;2105;AVENUE MARCEL DASSAULT;;74370;ARGONAY;FRANCE
DASSAULT SECLIN;71204245600269;DASSAULT AVIATION - 59113;;RUE MARCEL DASSAULT;ZONE INDUSTRIELLE;59113;SECLIN;FRANCE
ECHEVERRIA;38122505100022;ECHEVERRIA;;RUE EROTACILLO;ZI LES JONCAUX;64700;HENDAYE;FRANCE
EXAMECA;9718050900032;EXAMECA;;ROUTE DE L'AEROPORT;;64121;SERRES-CASTET;FRANCE
F-TECH ATLANTIQUE;53026496900029;F-TECH ATLANTIQUE;30;AVENUE DE LA GRANGE NOIRE;ZI DU PHARE;33700;MERGINAC;FRANCE
HELIDAX;50296216000029;HELIDAX;;ROUTE DE TERCIS;;40100;DAX;FRANCE
INDUXIAL;48350151600049;INDUXIAL;69;RUZ HENRY POTEZ;;80300;ALBERT;FRANCE
JB MECA;49424972500024;UZITEK;3;IMPASSE ANNE D'Autriche;;64700;HENDAYE;FRANCE
LAUAK France;30446408400090;LAUAK FRANCE;2245;ROUTE DE MINHOTZ;;64240;HASPARREN;FRANCE
MECANIQUE ATELIER COIGNIERES;32519419900023;MECANIQUE ATELIERS DE COIGNIERES;;RUE FRESNEL;ZONE ARTISANALE PARIWEST;78310;MAUREPAS;FRANCE
MECACHROME;42985335100139;MECACHROME France;17;AVENUE DIDIER DAURAT;IMMEUBLE ARISTOTE PARC DES ALGORITHMES ;31700;BLAGNAC;FRANCE
MECADAQ TARNOS;39855120000023;MECADAQ TARNOS;;AVENUE DU 1ER MAI;POLE TECHNOLOGIQUE JEAN BE;40220;TARNOS;FRANCE
MICRO-MECANIQUE PYRENEENNE;38023786700011;MICRO MECANIQUE PYRENEENNE;1;ROUTE DU SOMPORT;;64400;GURMENCON;FRANCE
MP CHASTRIA;35344531500032;MECANIQUE DE PRECISION CHASTRIA;1;ALLEE DES ARTISANS;ZA DU REDON;64600;ANGLET;FRANCE
NIMROD;54201007900029;NIMROD AEROSTRUCTURES;5;ZONE ARTISANALE MASSEVIN;;87330;NOUIC;FRANCE
POTEZ AERONAUTIQUE;63202334700024;SOC POTEZ AERONAUTIQUE;8;ROUTE DU HOUGA;;40800;AIRE-SUR-L'ADOUR;FRANCE
SAFRAN AEROSYSTEMS;48260577100070;SAFRAN AEROSYSTEMS;61;RUE PIERRE CURIE;BP 1;78370;PLAISIR;FRANCE
SAFRAN ADDITIVE MANUF CAMPUS;81525577300021;SAFRAN ADDITIVE MANUFACTURING CAMPUS;;ROU DE TOUBAN;;33185;LE HAILLAN;FRANCE
SAFRAN MOLSHEIM;71201953800123;SAFRAN LANDING SYSTEMS - 67120;1;RUE ANTOINE DE SAINT EXUPERY;1 A 9;67120;MOLSHEIM;FRANCE
SAFRAN GURM;71201953800081;SAFRAN LANDING SYSTEMS - 67120;9;RUE GUYNEMER;;64400;BIDOS;FRANCE
SEGNERE;31594814100025;AGILITEAM ADE;;ROUTE DE TARBES;ZONE INDUSTRIELLE;65100;ADE;FRANCE
STAERO;35125516100017;STAERO;100;CHEMIN DE CAZENAVE;ZONE INDUSTRIELLE SAINT ETIENNE;64100;BAYONNE;FRANCE
TEKNIAERO;82250484100021;TEKNIAERO;2;RUE PIERRE GEORGES LATECOERE;PARC TECHNOCITE;64100;BAYONNE;FRANCE
