Code;Nom;Voie;Complement;CP;Ville;Pays;SIRET;Raison sociale
12053;MOTHERSON ADI TUNISIE;MOTHERSON;ZI SIDI DAOUD LA MARSA;02046;TUNIS;TUNISIE;;
12023;AERO VODOCHODY AEROSPACE A.S.;U LETISTI E.P 374;;25070;ODOLENA VODA DOLINEK;REPUBLIQUE TCHEQUE;;
12065;ALMECA;684 RUE BERNARD PALISSY;;40990;SAINT PAUL LES DAX;FRANCE;48482136800038;ALMECA SOCIETE NOUVELLE
12047;ATLANTIQUE RECUPERATION;ROUTE DE MAREMNE;Z.A. HOUSQUIT;40530;LABENNE;FRANCE;42861708800037;ATLANTIQUE RECUPERATION (ATLANTIQUE RECUPERATION)
12007;ATTANASIO SARL;CHEMIN DE NAUCOU;;31780;CASTELGINEST;FRANCE;32011698100020;ATTANASIO FRERES
12032;BOURSIER SOGREG;5 RUE DE HARISPE;;64250;CAMBO LES BAINS;FRANCE;34403256000023;JBT BOURSIER
12050;CAZENAVE;PLACE GERE BELESTEN;AEROPOLE PYRENEES;64121;SERRES CASTET;FRANCE;31095537200027;ETABLISSEMENTS CAZENAVE
12052;CERPI;3 RUE DU RAPPORTEUR;Z I DES BETHUNES;95310;SAINT OUEN L'AUMONE;FRANCE;37970383800027;CONCEPTION ETUDE ET REALISATION DE PROTOTYPES INDUSTRIELS (CERPI)
12060;CGR INTERNATIONAL;2 RUE HENRI POINCARE;Z.I. LES BEAUDOTTES;93274;SEVRAN;FRANCE;51132205900011;CGR PRAESIDIUM
12080;CONORM;ZI RUE DE L'EUROPE;CS 80001;28132;PIERRES CEDEX;FRANCE;40013262700011;CONORM
12090;CORSE COMPOSITES AERONAUTIQUES;ZI DU VAZZIO;BP 902;20700;AJACCIO CEDEX 9;FRANCE;32539647100030;CORSE COMPOSITES AERONAUTIQUES (CCA)
13500;DASSAULT AVIATION ARGENTEUIL;AV. DES MARTYRS DE LA RESISTANCE;;33127;MARTIGNAS SUR JALLE;FRANCE;71204245600020;DASSAULT AVIATION
14000;DASSAULT AVIATION BIARRITZ;AV. DES MARTYRS DE LA RESISTANCE;;33127;MARTIGNAS SUR JALLE;FRANCE;71204245600145;DASSAULT AVIATION
13994;DASSAULT AVIATION ISTRES;AV. DES MARTYRS DE LA RESISTANCE;;33127;MARTIGNAS SUR JALLE;FRANCE;71204245600194;DASSAULT AVIATION
13997;DASSAULT AVIATION MARTIGNAS;AV. DES MARTYRS DE LA RESISTANCE;;33127;MARTIGNAS SUR JALLE;FRANCE;71204245600160;DASSAULT AVIATION
13998;DASSAULT AVIATION MERIGNAC;AV. DES MARTYRS DE LA RESISTANCE;;33127;MARTIGNAS SUR JALLE;FRANCE;71204245600228;DASSAULT AVIATION
13999;DASSAULT AVIATION POITIERS;AV. DES MARTYRS DE LA RESISTANCE;;33127;MARTIGNAS SUR JALLE;FRANCE;71204245600277;DASSAULT AVIATION
13996;DASSAULT AVIATION SECLIN;AV. DES MARTYRS DE LA RESISTANCE;;33127;MARTIGNAS SUR JALLE;FRANCE;71204245600269;DASSAULT AVIATION
12044;ECHEVERRIA;RUE EROTACILLO;ETS ECHEVERRIA ZI DES JONCAUX;64700;HENDAYE;FRANCE;38122505100022;ECHEVERRIA
13100;EGILE MECHANICS S.L.U;KURUTZ-GAIN;;20850;MENDARO (GIPUZKOA);ESPAGNE;ESB20644993;
14006;EXAMECA;ZAC LE MAZAUD - LA CHASSAGNE;SITE DE GIE AD BRIVE;19107;BRIVE LAGAILLARDE;FRANCE;09718050900032;EXAMECA (AD INDUSTRIES SHEET METAL)
12039;F-TECH ATLANTIQUE;110 RUE GEORGES ONSLOW;;34070;MONTPELLIER;FRANCE;53026496900029;F-TECH ATLANTIQUE
14905;HELIDAX;ROUTE DE TERCIS;BP 20076;40102;DAX;FRANCE;50296216000029;HELIDAX
14860;INDUXIAL;69 RUE HENRY POTEZ;;80300;ALBERT;FRANCE;48350151600049;INDUXIAL
14960;JB MECA;132 AVENUE DE JALDAY;ZI DE JALDAY;64500;SAINT JEAN DE LUZ;FRANCE;49424972500032;UZITEK (UZITEK)
14909;KEP TECHNOLOGIES;ZA LES PELLETIERS;SITE LAXOU;89100;SOUCY;FRANCE;31994857600081;KEP TECHNOLOGIES INTEGRATED SYSTEMS (GMT - COLLOT TECHNOLOGIES - KES -) (GMT)
14003;LAUAK FRANCE;2245 ROUTE DE MINHOTZ;;64240;HASPARREN;FRANCE;30446408400090;LAUAK FRANCE
14013;LAUAK PORTUGAL S.A.;ZONA INDUSTRIAL DE GRANDOLA;BAIRRO DA ESTACAO, LOTE 9;7570-261;GRANDOLA;PORTUGAL;PT513864911;
17100;MECANIQUE ATELIER DE COIGNIERES;12 14 RUE FRESNEL;ZA PARWEST;78310;MAUREPAS;FRANCE;32519419900023;MECANIQUE ATELIERS DE COIGNIERES
18034;MECACHROME FRANCE;17 AVENUE DIDIER DAURAT;IMMEUBLE ARISTOTE PARC DES ALGORITHMES;31700;BLAGNAC;FRANCE;42985335100139;MECACHROME FRANCE
18020;MECADAQ TARNOS;11 RUE HELENE BOUCHER;POLE TECHNOLOGIQUE JEAN BERTIN;40220;TARNOS;FRANCE;39855120000023;MECADAQ TARNOS
18002;MECA-DEC SANNOIS;43 RUE VICTOR BASCH;;95110;SANNOIS;FRANCE;97745488300017;MECADEC-SANNOIS
18070;MECADAQ PESSAC;9 RUE EUGENE CHEVREUL;;33600;PESSAC;FRANCE;34866567000033;MECADAQ PESSAC
18028;MICRO MECANIQUE PYRENEENNE;ZAC LE MAZAUD-LA CHASSAGNE;GIE AD BRIVE CS10550;19107;BRIVE LA GAILLARDE;FRANCE;38023786700011;MICRO MECANIQUE PYRENEENNE (AD INDUSTRIES HYDRAULICS) (MMP)
18200;MP CHASTRIA;1 ALLEE DES ARTISANS;ZA DU REDON;64600;ANGLET;FRANCE;35344531500032;MECANIQUE DE PRECISION CHASTRIA (MPC)
